14428	12611	13702	14812
17899	14093	15190	16231
20803	15505	16460	17291
22736	16652	17336	17841
23426	17373	17693	17801
22767	17568	17476	17170
20836	17206	16710	16027
17880	16328	15493	14521
14287	15045	13978	12847
10528	13516	12359	11220
7098	11934	10841	9847
4447	10494	9612	8900
2920	9370	8819	8488
2710	8694	8550	8648
3832	8536	8823	9339
6123	8898	9582	10450
9261	9715	10706	11813
12808	10861	12029	13226
16274	12168	13358	14485
19178	13452	14505	15409
21114	14532	15305	15861
21809	15255	15644	15774
21155	15520	15467	15151
19228	15282	14793	14070
16273	14567	13703	12667
12676	13460	12334	11124
8908	12098	10860	9636
5465	10649	9462	8392
2796	9290	8316	7542
1249	8186	7555	7186
1018	7463	7262	7351
2120	7198	7458	7996
4394	7407	8096	9015
7517	8044	9074	10249
11055	9008	10242	11517
14517	10153	11428	12633
17422	11315	12460	13432
19362	12329	13190	13794
20063	13049	13509	13661
19416	13370	13365	13043
17493	13243	12770	12013
14540	12673	11793	10702
10940	11729	10556	9275
7165	10521	9212	7912
3710	9200	7928	6785
1025	7921	6858	6028
-540	6840	6127	5726
-791	6081	5818	5899
291	5725	5949	6504
2547	5799	6481	7441
5658	6273	7329	8564
9189	7069	8357	9704
12648	8063	9412	10690
15554	9110	10340	11375
17500	10057	11003	11654
18208	10768	11301	11478
17568	11138	11185	10860
15652	11107	10659	9876
12701	10670	9784	8644
9100	9873	8665	7321
5319	8811	7440	6072
1852	7608	6258	5051
-847	6410	5260	4378
-2431	5358	4565	4127
-2700	4571	4242	4311
-1635	4135	4316	4886
605	4088	4758	5752
3704	4418	5488	6777
7228	5060	6391	7801
10685	5914	7329	8671
13594	6851	8162	9253
15546	7734	8763	9455
16263	8431	9040	9239
15632	8840	8945	8620
13723	8895	8480	7673
10777	8577	7695	6513
7175	7917	6683	5283
3389	6988	5566	4136
-86	5900	4479	3213
-2800	4780	3551	2619
-4400	3760	2887	2416
-4688	2954	2556	2613
-3639	2451	2583	3163
-1412	2298	2945	3971
1676	2496	3573	4908
5194	2997	4364	5831
8651	3723	5196	6597
11564	4557	5940	7086
13524	5375	6485	7218
14250	6056	6742	6963
13629	6496	6665	6342
11728	6627	6253	5427
8788	6416	5548	4330
5187	5881	4633	3183
1398	5078	3615	2130
-2086	4099	2615	1295
-4812	3057	1752	773
-6428	2072	1119	618
-6731	1256	785	830
-5698	697	773	1360
-3484	451	1065	2118
-405	529	1604	2980
3108	905	2294	3812
6566	1508	3031	4485
9484	2245	3697	4891
11453	3001	4188	4960
12191	3663	4425	4669
11581	4129	4363	4044
9690	4325	3998	3158
6756	4212	3366	2115
3159	3792	2538	1044
-633	3106	1610	75
-4125	2231	692	-679
-6862	1266	-111	-1132
-8491	319	-710	-1242
-8810	-501	-1044	-1014
-7791	-1105	-1089	-497
-5588	-1432	-856	217
-2516	-1459	-398	1015
993	-1201	205	1767
4453	-708	854	2357
7378	-64	1449	2688
9357	631	1892	2700
10107	1271	2110	2376
9510	1757	2061	1747
7630	2012	1738	885
4704	1987	1170	-108
1111	1674	421	-1111
-2681	1098	-423	-2003
-6179	322	-1266	-2683
-8926	-568	-2013	-3074
-10567	-1474	-2580	-3140
-10900	-2291	-2911	-2894
-9894	-2933	-2981	-2387
-7702	-3331	-2799	-1707
-4636	-3453	-2411	-965
-1127	-3299	-1885	-281
2334	-2909	-1311	233
5267	-2350	-781	498
7258	-1714	-382	458
8022	-1098	-182	105
7439	-596	-221	-528
5572	-290	-506	-1368
2655	-235	-1016	-2318
-932	-450	-1693	-3259
-4724	-922	-2461	-4083
-8226	-1603	-3236	-4693
-10981	-2421	-3928	-5025
-12634	-3283	-4463	-5050
-12979	-4093	-4787	-4785
-11984	-4762	-4877	-4283
-9802	-5221	-4740	-3633
-6741	-5425	-4411	-2938
-3233	-5368	-3954	-2315
233	-5073	-3448	-1863
3175	-4596	-2977	-1658
5179	-4016	-2616	-1744
5958	-3424	-2433	-2124
5390	-2912	-2462	-2762
3537	-2561	-2715	-3584
632	-2432	-3170	-4492
-2949	-2557	-3782	-5379
-6740	-2932	-4481	-6140
-10245	-3522	-5191	-6687
-13007	-4267	-5831	-6963
-14669	-5083	-6334	-6948
-15025	-5880	-6650	-6662
-14040	-6570	-6755	-6162
-11866	-7079	-6654	-5535
-8809	-7358	-6378	-4881
-5300	-7387	-5981	-4309
-1827	-7179	-5534	-3912
1125	-6778	-5112	-3759
3142	-6251	-4790	-3888
3937	-5686	-4621	-4292
3387	-5166	-4642	-4933
